scenario,trials,independent_cost,coordinated_cost,saving_pct,saving_per_day,saving_ci95_low,saving_ci95_high,independent_fill,coordinated_fill
normal,20,60.35202739726027,44.43568493150685,26.372506694739403,15.916342465753427,13.888266899332477,17.94441803217438,0.9995427151356994,0.9344315897102013
demand_spike,20,86.02687671232877,207.72857534246572,-141.4693910568248,-121.70169863013697,-128.28154633910907,-115.12185092116486,0.899952453838081,0.6817826386272738
supplier_delay,20,60.79801369863014,445.04506849315067,-632.0059347649019,-384.2470547945205,-398.44704712040175,-370.0470624686393,0.921185038610765,0.3807315706393682
combined_stress,20,344.2609178082192,807.5991780821918,-134.58927119112866,-463.33826027397265,-474.35206314005313,-452.32445740789217,0.7206830593694498,0.31063564932015514
